????-????-???? | 2A6FY-BR577-H0DD3-RIK2Z
????-####-%%%% | QXYX9-EDYQV-TEOYK-Y4P9E
****-****-**** | A7FT6-OJR56-RTDOU-HX4TT
****-****-**** | YWGQ4-OQNW4-OLCFF-WBZ4L
####-####-#### | J913N-VIB52-AZJHB-FS6JG
####-####-#### | GA4C7-VY3Z4-CAC0S-5Z3AX
####-####-#### | K5Y0D-X4093-PG326-K128A
****-****-**** | MHIHX-4TLZK-N4I33-TZ7UK
####-####-#### | QD3MT-T25R6-GXPR8-Z09ES
%%%%-%%%%-%%%% | ZGDQU-2P6IH-PW9BP-U7VYG
****-****-**** | 9YNXD-LWYKO-3UNLD-LE1UD
****-****-**** | 1L0V6-IOQT6-2DOQ0-OI1ET
????-####-%%%% | IEDEM-T7VWJ-ZQQ2L-86GS7
????-????-???? | D1PG1-AVNC7-AX7J6-BKSEO
####-####-#### | Z8S0P-JBFK8-FY9DH-A28RD
####-####-#### | G36QS-13OO0-0S6TT-Y7YXK
????-####-%%%% | 44NVI-DJZZ2-T7WA0-IOKJC
####-####-#### | AYO0K-DYW91-4TPO3-WL8UP
????-####-%%%% | S3RZB-9H8J6-P37R1-BLZ7W
####-####-#### | V3IVL-BCOHR-VYAG1-Q6EQX
????-????-???? | YJFMB-3XTDO-ZFJFE-0RGJY
????-????-???? | BWC9Z-0DCD4-1MRAQ-12BWZ
%%%%-%%%%-%%%% | PQ5R3-8FXWC-FO0D7-5BQF6
%%%%-%%%%-%%%% | URUN5-JY4M1-GIDG1-3GCF7
####-####-#### | DN0VV-LTEQD-5M7JT-1R2Q3
****-****-**** | EPOZK-WWK5Z-7Z4AZ-7Q39O
****-****-**** | 2CJZJ-03CBI-9KL8X-4E359
????-####-%%%% | LSBR6-EB0TI-QCZYV-GX9MU
????-####-%%%% | TF99Y-10XFH-1AP67-PTM4U
????-????-???? | LHGXL-0JKKL-JKNJJ-09IIV
****-****-**** | X66HY-8NH1T-J0AZC-JYZ6E
****-****-**** | CUKJ6-YVLT9-X60PX-YOB9A
????-####-%%%% | SE0M0-PTDA2-J1OUW-1BD7F
????-????-???? | 6PVZ3-O3AHW-UTTRL-1BYJ0
????-????-???? | 9MLF5-49WOW-F60ZO-7DMFE
****-****-**** | 3QUDQ-GYLAP-697TP-LCFLK
****-****-**** | XQS35-F3W11-8G5QF-82IQ1
????-####-%%%% | N4XDG-3CDCE-L7IL8-6J2L3
%%%%-%%%%-%%%% | EPZL5-GCIM0-J2PHK-KMF6L
????-####-%%%% | EZCSQ-Z8HFI-Q9LWA-VCGZW
????-????-???? | 2P24E-1GRO7-YC3P2-I3ZRW
????-####-%%%% | XEJLY-V5BLJ-NYZON-QXAHZ
????-????-???? | QNK01-L13KS-KY46T-1LB3P
%%%%-%%%%-%%%% | M14H7-YRMUN-DWLWD-QTK7B
****-****-**** | G4BYT-QYS2K-SFFUT-FINT9
####-####-#### | UKROV-AWLI4-V0HBE-P1PJE
####-####-#### | 4HHX9-5HPM3-UIS0T-L9NZM
????-????-???? | WPMGN-1UL0A-JGOCD-M54DX
????-????-???? | 97GUK-NLEE1-XSODL-LTOBD
%%%%-%%%%-%%%% | YN3C2-Z1MBT-L9H1Y-9RP93
????-????-???? | AFVGY-DWYE3-7PY8I-PA4NK
????-####-%%%% | PAR02-DXP0M-RNCA8-CLIIP
????-####-%%%% | VYWKJ-WLJDC-Y31AX-MVCD5
####-####-#### | 9UITB-BVQJY-LQC79-03XX4
****-****-**** | PGT52-FYKV3-BOG97-NSMHZ
????-????-???? | 7FR3N-I2XOR-TIQDK-GZ5II
****-****-**** | GQYQ9-2H658-WTAQ7-Z425U
????-????-???? | 92W41-KBE3B-WXMPQ-J30SX
****-****-**** | 7FO8X-XYK32-5VQQH-FYX9H
????-????-???? | P17N1-91N2X-A9X9R-XVN05
????-????-???? | AORAE-OCVVO-HUG8I-E1CKY
????-####-%%%% | 83CUX-C7EKG-M70HK-S9Y5H
????-????-???? | X0IZB-8O9ZX-6PH83-9JD2H
????-####-%%%% | VGSNY-GG02Y-WPKI6-8DKHP
????-????-???? | DLYV0-4SQNJ-7W8PN-DGVDF
####-####-#### | 7KG89-JEMQC-IBR9L-FXCSX
%%%%-%%%%-%%%% | 8XB20-81OET-EMK1R-J0PLG
****-****-**** | I6QR0-4ZU09-VQRKF-H7YBW
????-????-???? | 8XKFW-5FR8O-VX9TG-9SWXA
####-####-#### | TPNJO-6IKIR-F20S0-094XB
####-####-#### | A3AQ6-TB7YF-XIYHQ-OB7FP
????-####-%%%% | 4PHGJ-I5WP6-YIBM2-QLUOY
????-????-???? | PYRHL-NI5NS-XNFBD-JSF88
????-####-%%%% | JV0E7-R03M0-3F4MH-9LDFI
####-####-#### | 1PCP7-W026R-UTXLK-ME04Y
####-####-#### | FUQDO-B4NN2-8NY8F-O1A93
????-????-???? | YE8RW-CAO4R-3LXXM-SVEJZ
****-****-**** | QOVYI-L2PB6-S95IT-07GIB
????-????-???? | Q90PR-OM5KR-SGB11-PI5ZQ
****-****-**** | QCGO2-PIBQN-8O47Z-8GQ9U
####-####-#### | ATOS8-X2Z03-PVKQF-W5SVL
????-????-???? | XAZ4X-DZY64-N2ERN-2XU91
####-####-#### | OB2TA-O2OFC-TC55X-X6VOZ
????-####-%%%% | YHIQV-O6PYL-9WEJH-5M472
????-####-%%%% | X6L16-NIOT4-XNMRV-KDJ6G
****-****-**** | BW8R4-W0AYZ-DSGZH-868FA
****-****-**** | DWN6R-576ZK-RCVXA-UDNDO
%%%%-%%%%-%%%% | JK70X-A2PY1-PT4VM-WFVP8
%%%%-%%%%-%%%% | J5Z6P-S1FP6-W74N1-VJS5M
****-****-**** | MVM7G-3R813-CN5KE-OFMB4
####-####-#### | UV7M8-0CU8C-Y9WNW-N6QMG
????-####-%%%% | LVXI2-8G7ZF-KMW8Z-MX2M9
????-####-%%%% | F6PSB-Z0MQ0-CJOVH-L39ET
####-####-#### | RX6LT-NADJE-24V0K-04Z7X
????-????-???? | 9EDUL-4JRV1-D421B-ZTQ1N
????-####-%%%% | 5FGGO-OK2DG-0XE9S-P8IWD
????-????-???? | T27RZ-UX6QI-2O4P6-C28FK
****-****-**** | 6112C-LKVXB-MTVH8-02JXM
????-####-%%%% | V368K-LAFYJ-A532C-BSGV7
****-****-**** | 02E73-MALQ5-TZM43-D7X9L
????-????-???? | QWXZY-79U58-G78E0-EAC4W
****-****-**** | TRFNO-0E8RA-TQRDK-HD3YU
%%%%-%%%%-%%%% | F8D4J-X8WAH-PUYA0-M8JFG
****-****-**** | 85JXO-MTOTB-7ZDH3-8TSHB
????-????-???? | 97RR5-2OD8R-YGS7K-XSQK9
####-####-#### | 5BT6F-5CYVH-R34QI-LGP71
????-????-???? | AOBNA-1I34D-3TCTI-4BVYI
%%%%-%%%%-%%%% | 0N3QL-DIN51-LD6WH-W5RH8
????-####-%%%% | CMJQO-XKE0Y-LIWJ6-STK8Y
????-????-???? | 3D4JX-1LGSS-44KSU-ET6SK
####-####-#### | XXKVI-7GPAA-G0ASE-JJ8N7
####-####-#### | BBUIG-UUMRG-792TY-B6KK8
????-????-???? | QIDY6-VDIGS-0HRTM-DNGJP
????-####-%%%% | J4H5B-FFJWT-LXQH3-BYFOF
####-####-#### | EX142-5ECYL-HX7ZJ-EXKL8
????-####-%%%% | LM8AI-KP39Z-CVFUL-03GA4
????-????-???? | RQXJL-EWBHP-RU8ES-Q519S
????-????-???? | J3XRF-OHAX7-S0XWM-ND04C
####-####-#### | VB8UM-8QI84-IGXH7-RVFRT
####-####-#### | OX8I0-DNRCG-IK9NZ-4212O
????-????-???? | A3KWJ-0Z3BH-87VCT-5V32E
####-####-#### | MN6IE-89TDK-0ZH4E-N9TJE
%%%%-%%%%-%%%% | 3S9X3-1087N-4XBY7-2CSFK
####-####-#### | LNQY6-X069I-FCXTM-A7W25
????-????-???? | 3GBST-4Y19B-AABBX-81JVV
????-####-%%%% | 9YO65-EQLZ8-XUQ2C-PESIV
%%%%-%%%%-%%%% | MXLA9-MK6EJ-7Y0SP-MOGFF
????-????-???? | YVCL0-BI4T8-H9AOR-3GH7H
****-****-**** | IROMK-S191F-J8OYQ-7ZOF5
????-####-%%%% | XAC01-AV4NO-ZSJM7-7O5XD
####-####-#### | XBRJW-T5W0J-W6682-3C2H5
%%%%-%%%%-%%%% | LX6ZP-2U5RG-7HPK0-XL7S1
%%%%-%%%%-%%%% | X9L3Y-MEFVQ-LQBRF-KFN81
%%%%-%%%%-%%%% | CYTNJ-IKE1T-692T0-ZLGYA
????-????-???? | OFV7F-EJG6U-2GSNU-4IR48
####-####-#### | UEJLL-KJY1W-9BFAO-GTN0A
????-####-%%%% | DHNQB-O03VY-1ORRT-EJDI9
????-????-???? | OJPY6-MRFJV-6L4RQ-4I6UF
????-####-%%%% | 1N9IA-ZNH2W-PY697-IG6SL
****-****-**** | RYCDI-D03X4-TZNUI-TH3BI
????-????-???? | H35GN-RJQK8-UVAEQ-QHPVN
????-####-%%%% | KBAV9-SXNSV-Y3G9F-8OFZ1
????-????-???? | 4ZNV8-0WBWG-3X4H8-BDSVE
####-####-#### | FZNDZ-G41JM-HTL7J-BZRJH
????-????-???? | B5GUK-DDTHO-6ALXI-0PV72
####-####-#### | 2M2LX-MG570-2NEHU-4APB7
????-####-%%%% | T0K9D-WHS8P-1MQ5S-ENHYV
????-????-???? | 2G9F6-DQFZQ-N3C9B-FIP48
????-????-???? | ZDJXZ-RCTIZ-RC14G-DVPDO
????-????-???? | AR7QN-3JD22-952KQ-S83TD
????-####-%%%% | 2427V-SLDWD-83EIE-WF1T8
%%%%-%%%%-%%%% | IVE7T-ISYSK-3ZTXT-7KAVX
%%%%-%%%%-%%%% | C5FYU-9GQTJ-73U7H-2UL9J
????-????-???? | PRC0H-WLPI3-DEXBO-3CGB9
####-####-#### | U1ZUL-IZIVF-M6JTN-E8CTD
####-####-#### | TFCGG-XTI7X-13PHE-UZP5J
????-####-%%%% | 0E5MJ-EEULW-3R2PP-3P8KH
####-####-#### | 32SXZ-WEE1G-YKOAK-ZJD05
????-####-%%%% | GCOHV-ZZZIN-5Q86B-8JYKC
%%%%-%%%%-%%%% | IXNWB-E3JBM-228GR-ILYDJ
####-####-#### | KBDFO-B3A72-TODQI-Z2AFL
????-####-%%%% | 3WW70-IN1YJ-WGVAY-E6QOE
####-####-#### | KANUE-IBU7M-MQNIZ-ZNV0J
????-####-%%%% | PX0CP-ADEQH-SATEY-V5VU0
####-####-#### | OHTYJ-TVWQM-GPQOG-LN7P3
****-****-**** | IJMIA-WPLGH-HGL4E-9YIK0
????-####-%%%% | TEOVK-LWWDG-QD28K-6ZRRH
####-####-#### | GCHA2-TRROL-SG2V1-2G0T7
????-????-???? | 3X9BR-I0J4U-E2114-BL87H
%%%%-%%%%-%%%% | UOCOE-KM0K8-PFARJ-V3KY4
####-####-#### | BIBVO-UEZTV-1SPF5-FHLQP
????-####-%%%% | 695DG-W8OPL-OQ8A2-7YRFH
####-####-#### | B5QG5-E769V-0TPRT-B58I8
????-####-%%%% | H0T0A-WL6W8-UI14I-CLVJJ
####-####-#### | 8M5C2-IVR23-4CEY4-4K6QX
????-####-%%%% | BKSGD-QXF67-9CNBZ-0FDB3
####-####-#### | ZVJ1L-DX99S-RTF0M-QUFMD
????-####-%%%% | U9926-UYTO0-5843N-H3NUW
%%%%-%%%%-%%%% | EO8MU-MLDVP-DPGQO-I13EK
????-####-%%%% | JOJ3Y-LIHXD-IYFCJ-H7TVP
????-????-???? | ZAT01-DKHD3-5I6BV-LQ4OD
####-####-#### | AQCAI-Q5GHP-JOEPI-XQQ2L
????-????-???? | CFJHF-06SCB-9TOJH-X241Z
%%%%-%%%%-%%%% | MJ47V-PIO11-M0FBL-J3EYI
%%%%-%%%%-%%%% | EUJ5T-UQEPT-0SL00-TMW4R
####-####-#### | QHWSD-96CN9-4Q6FA-QKDYB
%%%%-%%%%-%%%% | ITB6D-0EZ1V-BIF13-4YBXO
????-####-%%%% | 87GDN-Y4XE7-9VWR2-41B16
????-####-%%%% | 66OTY-DRN9Z-J9VN2-1LL47
****-****-**** | RE49Z-B15YK-QFN6E-XZVBK
####-####-#### | LF8GZ-WTE6Z-YD8DF-FWA7V
????-????-???? | OZNO6-LJ3EJ-ARQ5B-MN7T5
####-####-#### | 5DE7C-L8YBM-J523P-Y2212
####-####-#### | 9OFJQ-DCIXN-BUJ3M-JR33W
????-????-???? | GKS40-GICGB-L34LG-77OKC
????-????-???? | BGVL2-TW8SM-I4F47-YCO75
????-????-???? | C03NH-IMXZ3-XY1GN-569PL
%%%%-%%%%-%%%% | 9ZCWB-0S0YL-6YP9A-HDQYY
####-####-#### | 54M6A-KPJB7-LUV7D-FH8N1
%%%%-%%%%-%%%% | P2ZD6-C92SL-QN86B-8V9PS
????-????-???? | 5OIGE-KEZPQ-57AZ3-71DC2
****-****-**** | XCKRL-SQSTL-UDJ4W-7O2PL
????-####-%%%% | ID60H-D4R50-WF6GB-A58FB
####-####-#### | UHA6P-TGYNT-HJ5RZ-77Z6F
????-????-???? | S9RPD-L1KB5-DN5MS-KGH1X
????-????-???? | EHPW9-FNJY2-PAXVO-6HA5T
####-####-#### | FD9F3-FXLEZ-A2AP3-UWQQV
????-????-???? | RGBET-YBYXC-M8OBD-YZKWL
####-####-#### | DS2AL-89F3W-FHX4N-XEX0E
????-####-%%%% | YFQKX-M4Q43-UZABS-FPFUL
####-####-#### | L8RKT-Q790G-0WHBH-JSFUY
????-????-???? | 920CT-SL972-KMM3Z-ZPFI5
????-####-%%%% | NO1N5-NAB3O-OLNXN-3MH1W
????-####-%%%% | N7N08-R3Z3D-6BBQ6-YYITF
????-####-%%%% | 52DII-RQ4RR-JR09C-DWE5J
####-####-#### | WAWNI-QVEXJ-WCKSL-S3PFA
****-****-**** | JHQTF-QVCWK-WW3FJ-7031G
****-****-**** | L8YDH-Q28R7-YFO7Z-54Z4Y
%%%%-%%%%-%%%% | ZBTRJ-2SN0L-GN9PK-FUHBS
%%%%-%%%%-%%%% | XALXT-GN1BY-MGZCG-736EM
????-####-%%%% | R70R5-UG1ZR-MBN1B-RNGG8
****-****-**** | EA4JR-LTXD6-KELSJ-7J5FP
????-####-%%%% | 2E4AU-CB8J9-3H16U-UAMD3
####-####-#### | AO6LY-UWFU1-1KRIT-A71CI
????-????-???? | MLIVZ-7WFFE-7XEBS-LN3WY
????-????-???? | RHS5M-TG59W-H2ZI1-DU0RJ
####-####-#### | 3KEHU-DUUMO-3BF05-BK9LA
????-####-%%%% | WCC45-HYL9E-X3Q2N-RBCXU
????-####-%%%% | 6KJ61-SIID2-SJ03I-D1MYF
****-****-**** | RMDOP-P6M1D-AHYQT-LLBTO
????-????-???? | HGQ9X-J0NG4-BE996-KBCF9
####-####-#### | 0B2N3-ZJIS0-OKFPF-7PJLV
????-????-???? | 8NAFX-GTH5M-12AFL-E6UED
####-####-#### | E24VK-RKNHW-PJCEB-EMAT0
????-????-???? | 0SIUY-HSX76-TNOCQ-99EQK
????-????-???? | A5P0N-SSNFQ-QDEAU-BZCIZ
????-####-%%%% | 2KOQS-XIKWI-9D9JN-7EXBO
????-####-%%%% | RYW4X-4MPO4-WVIBJ-1XXJT
####-####-#### | RV9VX-UN9H0-LPGQZ-H3MH6
????-####-%%%% | BGHMY-DRN2P-7HOP0-W1F8U
%%%%-%%%%-%%%% | KO2LM-P52VL-3OS46-U8ILW
****-****-**** | W9ZKT-XPPK4-CLCHM-HPP6B
????-####-%%%% | 0POJO-ABFNX-L2P12-GAICU
****-****-**** | Z9N25-51P06-JHB3A-EGR2D
####-####-#### | QAWVQ-1LHBK-9NBJ4-75D3Q
%%%%-%%%%-%%%% | LUY3B-GP591-IVLR9-TX7OI
****-****-**** | EBZ6J-ZPT3O-TZRYS-3Q1OO
****-****-**** | IHY8S-RHFIC-4VPP2-ROGRJ
****-****-**** | VYVLF-QSMRW-WFCGA-C56OX
????-####-%%%% | JO7VL-JLA8X-BNFX3-JOEZ7
????-####-%%%% | P50CS-UBFFI-KT8XB-26TP1
????-####-%%%% | VQD3W-1HT66-G6H8C-KI5AE
####-####-#### | XKTPQ-6F8YW-15ZY0-IVQ9M
%%%%-%%%%-%%%% | S8CMD-JPNQO-2CU8V-MOIX7
****-****-**** | I7QV4-12NKF-4DYM7-H3SS5
????-????-???? | TMP04-1RII0-D8G1H-TJA8I
####-####-#### | PDYQH-75J2R-2G5Z9-SMCJG
????-????-???? | 9Q8A5-F393G-KR1HP-4GWJ0
????-????-???? | 47GRG-YM9NN-CFQHN-ITBB7
????-????-???? | A51BR-BP2IU-T8TZW-XKJ80
####-####-#### | NPMHZ-ABEZL-S4UE8-ZNGDS
????-????-???? | ZP50J-AM9TN-RIF3J-AUVPB
????-####-%%%% | 5F0U6-C8FZV-S5ENK-LOJ04
%%%%-%%%%-%%%% | SOJQ6-07KO1-1VZ78-XNVR5
####-####-#### | F2YF8-OIBI4-7IIHR-GZLNX
%%%%-%%%%-%%%% | 5B74Y-UWA0P-CV0G8-2JCC1
????-????-???? | Z0P2U-ODGOA-VH8Z2-3V10K
****-****-**** | GGNZ6-B2X8A-FRF9G-5PGBA
****-****-**** | AGEGC-C6V05-ETVAZ-PD86Y
####-####-#### | XH1G7-85T3Z-GAPS8-9LMAM
????-####-%%%% | IXDR8-LCZCP-B8CF1-KL1IF
****-****-**** | 2KC6H-YLZGZ-I9XL5-CWVS5
????-####-%%%% | GF8QQ-YTVE1-BSDA0-PQ2T7
####-####-#### | YN6X6-MYSFT-CJY2B-WI3A0
%%%%-%%%%-%%%% | G2RKK-21708-IQFAW-GISC7
????-####-%%%% | WUHVZ-6M1JP-U2ZEP-QNEH5
????-????-???? | XT0JM-NFB7G-JF8NR-8I3ER
####-####-#### | YOH3B-IHM3F-SK3TX-HFUEN
####-####-#### | SIF7E-BXBCY-K0V6D-7PG7Y
????-####-%%%% | AE71N-NS8ND-5G46W-NE6GZ
????-????-???? | V4S83-3Y9XI-UQ6PD-WIPK7
????-????-???? | H9EPF-8I69M-NLBHE-7B9XJ
####-####-#### | MC3WE-ZRQ6L-VD5NO-C83JT
????-####-%%%% | BRUPW-0HQFA-Q9TTP-RUZJB
????-####-%%%% | L3DMN-Z4SZF-PZHDD-4BNEL
????-####-%%%% | G6715-TMKMJ-4Y6H1-P9AQN
####-####-#### | X7WPI-R8C9A-8LEI0-P1MCW
????-####-%%%% | UCP4D-I3601-LTDYQ-NQ54T
####-####-#### | 1XJL3-NJ8UY-NSXHD-JKQTQ
????-####-%%%% | YKKO3-ZVQS5-8AJMQ-M37V9
????-####-%%%% | O3IP9-QRZPD-P3XAX-INW5Z
####-####-#### | 60LAP-U92H3-TZ3XQ-T181B
????-####-%%%% | MZ2D6-4P94N-4CSRD-P6MMW
????-????-???? | G66S5-4DJXS-70JJG-QA0OP
%%%%-%%%%-%%%% | JN6I9-4S06A-DXC1U-7WJXS
****-****-**** | 27AD2-CC4QC-ZF9M8-1WUE2
****-****-**** | REME7-UBH4D-XYQ0D-VRT1F
????-####-%%%% | ST1UD-9LCKY-VYFDE-HDETM
????-####-%%%% | JUC2N-RZKBT-OVGHI-OYGNZ
????-????-???? | A6GKW-K87M9-MMHIV-4CEHF
####-####-#### | L1Z5I-NWND0-M2S86-W5BEJ
????-????-???? | 2VEKK-ACLRQ-TEY7A-5EMAG
****-****-**** | B1WK8-38BNQ-L04AD-I1OH9
####-####-#### | 4GLRJ-9LXI7-P1KX2-58SZL
????-####-%%%% | 89C77-YV3AB-KDWTY-0651J
????-####-%%%% | 4DOPZ-XSR83-GQKW6-JLJJA
????-????-???? | ODP0K-W1NNF-2N6UQ-PC99Y
####-####-#### | 2JC1H-GWZ8N-2428K-RJY60
????-####-%%%% | X4UYK-YVPSX-6EGX0-LUFMI
####-####-#### | B53SF-AJGXW-9GW8R-8BTJ4
????-????-???? | KMDFH-XQJ4V-OA8CG-5LE4U
????-????-???? | BIZ8J-3Z9CO-60DQ0-8C35N
????-????-???? | 2BUOO-WVSZ3-RXKXZ-I2EBG
????-####-%%%% | CSEWB-M72M6-F9MLJ-PLR0I
????-????-???? | OE7HK-5HKAP-BZEN4-L7EGI
????-####-%%%% | XA8B7-VRQN5-9U0B0-SA4YI
####-####-#### | 93G5Q-HJI2P-I38IF-KHEIP
####-####-#### | PA8Z7-PFS9O-JYLPL-RFQDY
????-####-%%%% | 28JCO-IIHPQ-B7DCB-9VJCW
****-****-**** | 8TPA6-R7RTT-CU2WZ-6U24T
????-????-???? | 3JRTP-OT1AA-0G089-SGE40
####-####-#### | SOIA2-Q5BZZ-4UNLL-MHWS9
????-####-%%%% | YPLA6-ZXFJG-6V0R8-S1R0T
????-####-%%%% | STP62-Z0HKN-UKJ9T-BFTJY
????-????-???? | T5YBF-2Q0FN-ASJF2-CL54U
####-####-#### | G9X1H-9AVQ2-Z3TO6-QLM5K
????-????-???? | D8V8O-57M7U-QIKRZ-BJP8R
????-####-%%%% | IGAW8-5RG2Y-TXJUJ-G9PT1
????-####-%%%% | LU18T-WJR81-DJUFI-LF8AW
????-####-%%%% | HFKDS-91C2Z-669AK-MITMA
????-####-%%%% | LVBW9-OCDZH-DD7RA-J13RP
????-????-???? | 2E33M-M9JWZ-LIUGI-1E9FY
????-????-???? | 2XIO2-HU4T5-9F6ET-TJM9E
****-****-**** | HIZB1-YLS0L-JZZG9-353VO
????-????-???? | 779LO-LFAYB-LBDVM-M14GO
####-####-#### | 1ZFAT-6VJ1Q-F321W-X69SX
%%%%-%%%%-%%%% | E0I1J-1O1QB-CTG4V-A1KXF
####-####-#### | 7HIMR-3ZGBV-KR557-TNO3H
####-####-#### | 8CVSB-1Q7FD-BWWNS-D9FY9
####-####-#### | FRYCP-ABRI4-NO51Z-ORVUS
####-####-#### | V7NYQ-Z6XMT-WDB97-8GQLN
????-####-%%%% | QNIDJ-49D4M-UDB3X-VLVJE
%%%%-%%%%-%%%% | 3BCCF-9E9ZP-JKCVT-WZBUM
####-####-#### | 5235Y-YMZKA-3ISR8-Y6YIB
????-####-%%%% | FJ0OS-QNJUH-XHMI7-NX1U3
????-####-%%%% | JMOM4-JBZKR-XJS6L-18SQP
????-????-???? | WZIZA-HZTDJ-IMYUL-TWVOC
????-????-???? | GCSVR-B8PY6-NBY0C-DGQA8
****-****-**** | FSXQ4-2ETNP-K3QEM-XZ6C1
####-####-#### | SK2SQ-WU02P-NG5DK-X14C6
????-####-%%%% | LZV9X-QZ2IZ-ICDT6-C0HDQ
????-####-%%%% | 0HK4P-4S7FR-9B4HE-56D0R
????-????-???? | 3CEW9-I50S3-EH4XW-VYQCD
%%%%-%%%%-%%%% | BGVAJ-68I2E-H2RFY-DEK0U
